ToolingStock,ToolingType,ToolingSize,Description,ControlLimit,SpecLimit,StoreID,ToolingQty,UTLSite,ActiveFlag,UpdateBy,CreateBy,UpdateTime,CreateTime,Remark,EquipModel,PartNo
CT000041,CUTTINGTOOL,NA0002_065,JMJ,4999000,5000000,N/A,0,UTL1,TRUE,PE UTL1,PE UTL1,02:52.2,40:57.3,,,
CT000042,CUTTINGTOOL,NA0001_003,JMJ,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,56:47.2,56:47.2,,,
CT000043,CUTTINGTOOL,NA0001_017,ASM,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,45:07.6,45:07.6,,,
CT000044,CUTTINGTOOL,NA0002_018,ASM,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,47:29.2,47:29.2,,,
CT000045,CUTTINGTOOL,NA0033_016,ASM,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,07:58.8,07:58.8,,,
CT000046,CUTTINGTOOL,NA0033_091,ASM,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,52:47.4,52:47.4,,,
CT000047,CUTTINGTOOL,NA0002_002,ASM,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,57:44.5,57:44.5,,,
CT000048,CUTTINGTOOL,NA0033_107,JMJ,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,59:33.9,59:33.9,,,
CT000049,CUTTINGTOOL,NA0014_072,ASM,4999000,5000000,N/A,1,UTL3,TRUE,,PE UTL1,06:40.4,06:40.4,,,
CT000050,CUTTINGTOOL,NA0015_073,ASM,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,30:34.7,30:34.7,,,
CT000051,CUTTINGTOOL,NA0014_070,ASM,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,49:31.8,49:31.8,,,
CT000052,CUTTINGTOOL,NA0015_071,ASM,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,51:37.9,51:37.9,,,
CT000053,CUTTINGTOOL,NA0012_074,ASM,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,09:09.2,09:09.2,,,
CT000054,CUTTINGTOOL,NA0013_075,ASM,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,11:19.7,11:19.7,,,
CT000055,CUTTINGTOOL,NA0012_012,JMJ,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,25:27.7,25:27.7,,,
CT000056,CUTTINGTOOL,NA0013_013,JMJ,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,26:28.8,26:28.8,,,
CT000057,CUTTINGTOOL,NA0008_102,JMJ,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,10:00.1,10:00.1,,,
CT000058,CUTTINGTOOL,NA0009_027,ASM,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,11:15.9,11:15.9,,,
CT000059,CUTTINGTOOL,NA0008_094,JMJ,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,40:31.8,40:31.8,,,
CT000060,CUTTINGTOOL,NA0009_155,JMJ,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,41:19.9,41:19.9,,,
CT000061,CUTTINGTOOL,NA0010_010,JMJ,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,55:03.3,55:03.3,,,
CT000062,CUTTINGTOOL,NA0011_011,JMJ,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,56:02.8,56:02.8,,,
CT000063,CUTTINGTOOL,NA0010_078,ASM,4999000,5000000,N/A,0,UTL1,TRUE,PE UTL1,PE UTL1,05:34.6,03:50.0,,,
CT000064,CUTTINGTOOL,NA0011_079,ASM,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,05:09.4,05:09.4,,,
CT000065,CUTTINGTOOL,NA0005_099,JMJ,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,13:42.6,13:42.6,,,
CT000066,CUTTINGTOOL,NA0006_077,ASM,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,15:00.5,15:00.5,,,
CT000067,CUTTINGTOOL,NA0005_100,JMJ,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,59:45.9,59:45.9,,,
CT000068,CUTTINGTOOL,NA0006_006,JMJ,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,00:40.8,00:40.8,,,
CT000069,CUTTINGTOOL,NA0005_005,JMJ,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,08:05.9,08:05.9,,,
CT000070,CUTTINGTOOL,NA0006_024,ASM,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,09:20.4,09:20.4,,,
CT000071,CUTTINGTOOL,NA0005_019,ASM,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,15:47.9,15:47.9,,,
CT000072,CUTTINGTOOL,NA0006_101,JMJ,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,17:10.2,17:10.2,,,
CT000073,CUTTINGTOOL,NA0005_095,JMJ,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,24:24.4,24:24.4,,,
CT000074,CUTTINGTOOL,NA0006_096,JMJ,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,25:33.4,25:33.4,,,
CT000075,CUTTINGTOOL,NA0005_105,JMJ,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,30:21.8,30:21.8,,,
CT000076,CUTTINGTOOL,NA0006_106,JMJ,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,31:13.6,31:13.6,,,
CT000077,CUTTINGTOOL,NA0007_023,ASM,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,37:30.9,37:30.9,,,
CT000078,CUTTINGTOOL,NA0006_029,ASM,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,39:11.9,39:11.9,,,
CT000079,CUTTINGTOOL,NA0007_028,ASM,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,55:22.3,55:22.3,,,
CT000080,CUTTINGTOOL,NA0006_020,ASM,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,58:40.2,58:40.2,,,
CT000081,CUTTINGTOOL,NA0036_086,JMJ,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,04:27.0,04:27.0,,,
CT000082,CUTTINGTOOL,NA0037_087,JMJ,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,05:47.1,05:47.1,,,
CT000083,CUTTINGTOOL,NA0047_047,JMJ,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,18:12.8,18:12.8,,,
CT000084,CUTTINGTOOL,NA0048_048,JMJ,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,18:58.2,18:58.2,,,
CT000085,CUTTINGTOOL,NA0047_129,JMJ,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,37:46.8,37:46.8,,,
CT000086,CUTTINGTOOL,NA0048_130,JMJ,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,38:50.7,38:50.7,,,
CT000087,CUTTINGTOOL,NA0025_030,JMJ,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,56:06.1,56:06.1,,,
CT000088,CUTTINGTOOL,NA0026_031,JMJ,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,56:53.8,56:53.8,,,
CT000089,CUTTINGTOOL,NA0031_036,JMJ,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,23:03.2,23:03.2,,,
CT000090,CUTTINGTOOL,NA0032_067,JMJ,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,24:13.3,24:13.3,,,
CT000091,CUTTINGTOOL,NA0031_066,JMJ,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,34:28.8,34:28.8,,,
CT000092,CUTTINGTOOL,NA0032_037,JMJ,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,36:11.0,36:11.0,,,
CT000093,CUTTINGTOOL,NA0027_082,JMJ,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,04:40.8,04:40.8,,,
CT000094,CUTTINGTOOL,NA0028_041,JMJ,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,05:32.6,05:32.6,,,
CT000095,CUTTINGTOOL,NA0027_040,JMJ,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,08:53.4,08:53.4,,,
CT000096,CUTTINGTOOL,NA0028_081,JMJ,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,10:14.5,10:14.5,,,
CT000097,CUTTINGTOOL,NA0027_080,JMJ,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,14:54.4,14:54.4,,,
CT000098,CUTTINGTOOL,NA0028_083,JMJ,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,15:45.6,15:45.6,,,
CT000099,CUTTINGTOOL,NA0038_042,JMJ,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,36:02.3,36:02.3,,,
CT000100,CUTTINGTOOL,NA0039_123,JMJ,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,36:57.5,36:57.5,,,
CT000101,CUTTINGTOOL,NA0038_122,JMJ,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,41:56.5,41:56.5,,,
CT000102,CUTTINGTOOL,NA0039_043,JMJ,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,42:52.9,42:52.9,,,
CT000103,CUTTINGTOOL,NA0040_044,JMJ,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,55:09.5,55:09.5,,,
CT000104,CUTTINGTOOL,NA0041_045,JMJ,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,56:12.5,56:12.5,,,
CT000105,CUTTINGTOOL,NA0063_089,JMJ,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,13:36.3,13:36.3,,,
CT000106,CUTTINGTOOL,NA0064_090,JMJ,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,14:42.3,14:42.3,,,
CT000107,CUTTINGTOOL,NA0075_110,A-ONE,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,40:27.5,40:27.5,,,
CT000108,CUTTINGTOOL,NA0075_148,A-ONE,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,46:22.4,46:22.4,,,
CT000109,CUTTINGTOOL,NA0076_124,JMJ,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,29:33.9,29:33.9,,,
CT000110,CUTTINGTOOL,NA0076_111,JMJ,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,33:42.9,33:42.9,,,
CT000111,CUTTINGTOOL,NA0076_145,JMJ,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,35:37.7,35:37.7,,,
CT000112,CUTTINGTOOL,NA0023_092,ASM,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,51:41.2,51:41.2,,,
CT000113,CUTTINGTOOL,NA0077_112,A-ONE,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,34:01.2,34:01.2,,,
CT000114,CUTTINGTOOL,NA0033_140,JMJ,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,45:38.6,45:38.6,,,
CT000115,CUTTINGTOOL,NA0077_132,ASM,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,55:47.7,55:47.7,,,
CT000116,CUTTINGTOOL,NA0077_136,A-ONE,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,58:36.4,58:36.4,,,
CT000117,CUTTINGTOOL,NA0077_143,A-ONE,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,09:19.1,09:19.1,,,
CT000118,CUTTINGTOOL,NA0087_118,A-ONE,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,50:43.1,50:43.1,,,
CT000119,CUTTINGTOOL,NA0087_137,A-ONE,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,58:47.1,58:47.1,,,
CT000120,CUTTINGTOOL,NA0087_139,A-ONE,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,02:03.1,02:03.1,,,
CT000121,CUTTINGTOOL,NA0102_142,JMJ,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,23:11.3,23:11.3,,,
CT000122,CUTTINGTOOL,NB0001_121,A-ONE,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,40:29.6,40:29.6,,,
CT000123,CUTTINGTOOL,NA0073_108,A-ONE,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,35:27.0,35:27.0,,,
CT000124,CUTTINGTOOL,NA0074_109,A-ONE,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,36:17.5,36:17.5,,,
CT000125,CUTTINGTOOL,NB0001_126,A-ONE,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,40:36.5,40:36.5,,,
CT000126,CUTTINGTOOL,NA0088_159,A-ONE,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,00:10.1,00:10.1,,,
